이름,연도,타율,출루,장타,OPS,경기당득점,경기당안타,경기당2루타,경기당3루타,경기당홈런,경기당루타,경기당타점,경기당도루,경기당볼넷,경기당삼진,경기당병살,경기당희생타
SK,2009,0.285,0.369,0.453,0.822,5.503759398496241,9.796992481203008,1.7669172932330828,0.12781954887218044,1.2481203007518797,15.563909774436091,5.2105263157894735,1.3609022556390977,4.150375939849624,6.706766917293233,0.7744360902255639,0.9624060150375939
한화,1999,0.283,0.353,0.484,0.838,5.537878787878788,9.606060606060606,1.9166666666666667,0.2196969696969697,1.4924242424242424,16.439393939393938,5.204545454545454,0.9696969696969697,3.272727272727273,6.416666666666667,0.8106060606060606,0.44696969696969696
KIA,2011,0.269,0.357,0.395,0.752,4.714285714285714,8.849624060150376,1.5338345864661653,0.11278195488721804,0.7969924812030075,13.0,4.488721804511278,0.849624060150376,4.165413533834586,5.879699248120301,0.8270676691729323,0.8195488721804511
해태,1999,0.278,0.362,0.467,0.829,5.795454545454546,9.575757575757576,1.5606060606060606,0.09090909090909091,1.5909090909090908,16.09090909090909,5.4772727272727275,0.7424242424242424,4.204545454545454,6.598484848484849,0.7954545454545454,0.5151515151515151
NC,2016,0.291,0.375,0.45,0.824,5.951388888888889,10.118055555555555,1.7291666666666667,0.13194444444444445,1.1736111111111112,15.631944444444445,5.611111111111111,0.6875,4.229166666666667,7.104166666666667,0.9236111111111112,0.4861111111111111
KIA,2004,0.267,0.354,0.419,0.773,4.834586466165414,8.887218045112782,1.6842105263157894,0.06766917293233082,1.0751879699248121,13.93233082706767,4.586466165413534,0.9548872180451128,4.12781954887218,5.2105263157894735,0.8872180451127819,0.6165413533834586
삼성,2010,0.272,0.368,0.406,0.774,5.120300751879699,9.075187969924812,1.593984962406015,0.10526315789473684,0.8872180451127819,13.541353383458647,4.7368421052631575,1.1879699248120301,4.669172932330827,6.887218045112782,0.8345864661654135,0.8345864661654135
삼성,1989,0.272,0.341,0.397,0.737,4.833333333333333,9.125,1.45,0.16666666666666666,0.8,13.308333333333334,4.5,1.3333333333333333,3.308333333333333,5.133333333333334,0.65,0.4666666666666667
넥센,2013,0.272,0.358,0.413,0.771,5.046875,9.1171875,1.6328125,0.0859375,0.9765625,13.8515625,4.7421875,1.0234375,3.9453125,7.125,0.734375,0.59375
한화,2005,0.27,0.341,0.434,0.775,4.936507936507937,9.23015873015873,1.6746031746031746,0.07142857142857142,1.2619047619047619,14.833333333333334,4.714285714285714,0.49206349206349204,3.1746031746031744,6.5396825396825395,0.9603174603174603,0.24603174603174602
SSG,2021,0.261,0.354,0.421,0.775,5.243055555555555,8.875,1.4236111111111112,0.09027777777777778,1.2847222222222223,14.333333333333334,4.944444444444445,0.6944444444444444,4.416666666666667,7.333333333333333,0.7361111111111112,0.3819444444444444
